,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
7926,ae26383f3312e0caaef37e29e2f727c12125ef073cabbdb260ecb4d1490f88de,,,,16.0,9292.0,431,AP-DISMIC09,Unknown
7927,cd087f4989bc9ed10cf8565f045cf2e2826db33d28a75d9b6af3b5bcac2b96d0,a95e8bd17fe42aac0375bf50ff9cc70b6d0e720b3d449731c78ba5eea032055c,studenti.polito.it,-62.0,24.0,121541345.0,5355102,AP-VALE-BCA-01,Student
7928,8e5edb6325902e09e482154cde998cde77fa8f8ffb0a4c5804b2e2896b04476c,e531049c56b6b4875a32c45a5aa0df9a89ff7fd35797534b78d0bae225fbdfdd,studenti.polito.it,-47.0,48.0,110555076.0,16014314,AP-AULA6-04,Student
7929,9be1d88a4e4d49628e878125756629291928d90abb9acbce5884b35ca81efc8f,ea13f83c00793b35b37b2f4683acb5e084c17654ad8ff17dcf14b4294d274080,studenti.polito.it,-66.0,28.0,61313038.0,3611886,AP-AULA9I-01,Student
7930,3337b73d25d7eca2a4ff902da66664be3d4b3d308c4c9de026dba6af2b4e86af,d07930abf12da9cc24a8907bbf8694d88fdffda30fd9f6d7181b8f2ff925ec3f,polito.guest,-49.0,42.0,1048217.0,719719,AP-ACQUARIO,Guest
7931,c450adedbde18c9f5ca02af36e77a7ae91f2d08f05d59830d6f92bb16d47d2e8,21390edff7f30c9d12f4da4fa437cb0a0d14e653f802ab45095fd6659992caa8,studenti.polito.it,-60.0,31.0,1823156.0,10702710,AP-CIT-DET2-03,Student
7932,1d280c1cc328f272eed699c81bad29d13d424c32b7c10536af301f73fc1843a4,0abc7b3bd030a6ec5cfae6b3ff1417f65b0ece002bd10d0efddffd33b16eb374,studenti.polito.it,-55.0,40.0,43414.0,21370,AP-AULA9I-01,Student
7933,290898df159aba206f70f414c66e80657ab8c2669157cb293e176773d757762e,6ffb5d8154ba5c53bb5f016cb8414f328ee1c14f12f1492d3d69ab8c466eaaf7,studenti.polito.it,-58.0,33.0,7538.0,2608,AP-AULAR4-03,Student
7934,e2758202e4490acb6412b133f0458f717745d22093bad682c657da841df9c113,b81ed613ba7937fdf2a812a825b4817945c351d11335f249400e02ed33930f21,polimi.it,-56.0,36.0,1110390541.0,26379030,AP-AULA12I-01,External
7935,5674a00c80fcc174473aea7a8c5072e2d714db66f9cf2dde27f3faae00b5bb74,f67eeee1f557f90f92d8103bb7dce86a136478839c3754a7bb9edc032ed2317f,studenti.polito.it,-62.0,36.0,188153938.0,582224720,AP-BCI-ST-10,Student
7936,0e5749fb5bb42be71bc36a3e6cd1b1135873e643eb21dde88ec892f085dfe484,6c9bad9000b46bda7f40e51d54ec934fd8ed0b96d5fe4c53eeb2432fc4307316,studenti.polito.it,-44.0,45.0,936197.0,1517196,AP-AULA8C-03,Student
